year,type,rate
2000,gesamt,5
2001,gesamt,5
2002,gesamt,1
2003,gesamt,3
2004,gesamt,6
2005,gesamt,3
2006,gesamt,4
2007,gesamt,3
2008,gesamt,6
2009,gesamt,2
2010,gesamt,3
2011,gesamt,5
2012,gesamt,4
2013,gesamt,3
2014,gesamt,1
2015,gesamt,2
