year,type,rate
2000,gesamt,2
2001,gesamt,2
2002,gesamt,1
2003,gesamt,5
2004,gesamt,7
2005,gesamt,6
2006,gesamt,4
2007,gesamt,1
2008,gesamt,1
2009,gesamt,2
2010,gesamt,3
2011,gesamt,7
2012,gesamt,7
2013,gesamt,5
2014,gesamt,3
2015,gesamt,1
