year,type,rate
2000,gesamt,7
2001,gesamt,6
2002,gesamt,5
2003,gesamt,6
2004,gesamt,3
2005,gesamt,2
2006,gesamt,3
2007,gesamt,4
2008,gesamt,5
2009,gesamt,1
2010,gesamt,2
2011,gesamt,3
2012,gesamt,4
2013,gesamt,7
2014,gesamt,4
2015,gesamt,2
